<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;60;20220806;010000;6.7607000;6.7607000;6.7607000;6.7607000;1
USDCNY;60;20220807;230000;6.7607000;6.7607000;6.7607000;6.7607000;1
USDCNY;60;20220808;010000;6.7607000;6.7618000;6.7607000;6.7618000;12
USDCNY;60;20220808;030000;6.7607000;6.7607000;6.7607000;6.7607000;1
USDCNY;60;20220808;040000;6.7607000;6.7607000;6.7607000;6.7607000;1
USDCNY;60;20220808;050000;6.7607000;6.7618000;6.7573000;6.7614000;80
USDCNY;60;20220808;060000;6.7615000;6.7647000;6.7606000;6.7647000;128
USDCNY;60;20220808;070000;6.7646000;6.7646000;6.7631000;6.7634000;144
USDCNY;60;20220808;080000;6.7634000;6.7634000;6.7629000;6.7631000;154
USDCNY;60;20220808;090000;6.7631000;6.7635000;6.7622000;6.7622000;196
USDCNY;60;20220808;100000;6.7622000;6.7637000;6.7607000;6.7628000;211
USDCNY;60;20220808;110000;6.7628000;6.7628000;6.7552000;6.7572000;191
USDCNY;60;20220808;120000;6.7572000;6.7629000;6.7572000;6.7622000;181
USDCNY;60;20220808;130000;6.7622000;6.7631000;6.7618000;6.7620000;165
USDCNY;60;20220808;140000;6.7620000;6.7622000;6.7604000;6.7604000;158
USDCNY;60;20220808;150000;6.7604000;6.7604000;6.7595000;6.7595000;139
USDCNY;60;20220808;160000;6.7595000;6.7595000;6.7570000;6.7570000;65
USDCNY;60;20220808;170000;6.7570000;6.7573000;6.7570000;6.7573000;31
USDCNY;60;20220808;180000;6.7566000;6.7567000;6.7513000;6.7518000;40
USDCNY;60;20220808;190000;6.7514000;6.7517000;6.7505000;6.7505000;34
USDCNY;60;20220808;200000;6.7505000;6.7505000;6.7505000;6.7505000;1
USDCNY;60;20220808;210000;6.7505000;6.7505000;6.7505000;6.7505000;2
USDCNY;60;20220808;220000;6.7505000;6.7505000;6.7505000;6.7505000;2
USDCNY;60;20220808;230000;6.7505000;6.7505000;6.7505000;6.7505000;3
USDCNY;60;20220809;000000;6.7505000;6.7505000;6.7505000;6.7505000;10
USDCNY;60;20220809;010000;6.7505000;6.7505000;6.7505000;6.7505000;9
USDCNY;60;20220809;050000;6.7505000;6.7581000;6.7505000;6.7573000;68
USDCNY;60;20220809;060000;6.7573000;6.7580000;6.7565000;6.7573000;117
USDCNY;60;20220809;070000;6.7573000;6.7573000;6.7560000;6.7563000;133
USDCNY;60;20220809;080000;6.7563000;6.7564000;6.7558000;6.7558000;167
USDCNY;60;20220809;090000;6.7558000;6.7563000;6.7508000;6.7515000;210
USDCNY;60;20220809;100000;6.7515000;6.7543000;6.7515000;6.7542000;247
USDCNY;60;20220809;110000;6.7540000;6.7559000;6.7538000;6.7554000;234
