<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDINR;60;20220807;230000;79.3500000;79.3500000;79.3500000;79.3500000;1
USDINR;60;20220808;030000;79.3500000;79.3500000;79.3500000;79.3500000;1
USDINR;60;20220808;040000;79.3500000;79.3500000;79.3500000;79.3500000;1
USDINR;60;20220808;050000;79.3500000;79.3500000;79.3500000;79.3500000;3
USDINR;60;20220808;060000;79.3500000;79.3500000;79.3500000;79.3500000;1
USDINR;60;20220808;070000;79.3500000;79.5300000;79.3500000;79.4500000;314
USDINR;60;20220808;080000;79.4550000;79.5510000;79.4550000;79.5400000;573
USDINR;60;20220808;090000;79.5510000;79.5930000;79.5350000;79.5500000;553
USDINR;60;20220808;100000;79.5625000;79.5920000;79.5520000;79.5900000;157
USDINR;60;20220808;110000;79.5850000;79.5875000;79.5225000;79.5325000;139
USDINR;60;20220808;120000;79.5450000;79.6025000;79.5400000;79.5800000;116
USDINR;60;20220808;130000;79.5750000;79.6400000;79.5675000;79.6375000;110
USDINR;60;20220808;140000;79.6400000;79.6500000;79.6400000;79.6500000;2
USDINR;60;20220808;170000;79.5120000;79.5240000;79.4770000;79.4820000;57
USDINR;60;20220808;180000;79.4880000;79.5300000;79.4880000;79.5120000;63
USDINR;60;20220808;190000;79.5140000;79.5870000;79.5100000;79.5870000;50
USDINR;60;20220808;200000;79.5840000;79.5910000;79.5570000;79.5800000;23
USDINR;60;20220808;210000;79.5640000;79.5730000;79.5540000;79.5540000;19
USDINR;60;20220808;220000;79.5570000;79.6500000;79.5570000;79.5890000;77
USDINR;60;20220808;230000;79.5840000;79.5870000;79.5840000;79.5870000;2
USDINR;60;20220809;000000;79.5870000;79.5870000;79.5870000;79.5870000;1
USDINR;60;20220809;050000;79.5870000;79.5870000;79.5870000;79.5870000;3
USDINR;60;20220809;070000;79.5550000;79.5580000;79.5340000;79.5550000;13
USDINR;60;20220809;080000;79.5300000;79.5460000;79.5180000;79.5330000;18
USDINR;60;20220809;090000;79.5360000;79.5790000;79.5330000;79.5640000;32
USDINR;60;20220809;100000;79.5650000;79.6360000;79.5630000;79.5980000;43
USDINR;60;20220809;110000;79.5950000;79.6625000;79.5830000;79.5920000;49
USDINR;60;20220809;120000;79.5900000;79.5900000;79.5040000;79.5100000;36
USDINR;60;20220809;130000;79.5090000;79.5360000;79.4790000;79.4890000;52
USDINR;60;20220809;140000;79.4920000;79.5810000;79.4920000;79.5520000;72
USDINR;60;20220809;150000;79.5820000;79.5820000;79.5170000;79.5240000;60
USDINR;60;20220809;160000;79.5430000;79.5510000;79.5170000;79.5190000;24
USDINR;60;20220809;170000;79.5310000;79.5570000;79.5020000;79.5330000;74
USDINR;60;20220809;180000;79.5310000;79.5710000;79.5070000;79.5420000;66
USDINR;60;20220809;190000;79.5450000;79.5910000;79.5450000;79.5710000;35
USDINR;60;20220809;200000;79.5710000;79.5730000;79.5530000;79.5710000;37
USDINR;60;20220809;210000;79.5730000;79.5730000;79.5670000;79.5730000;16
USDINR;60;20220809;220000;79.5710000;79.5800000;79.5610000;79.5670000;33
USDINR;60;20220809;230000;79.5710000;79.5770000;79.5590000;79.5630000;10
USDINR;60;20220810;020000;79.5660000;79.5660000;79.5660000;79.5660000;2
USDINR;60;20220810;030000;79.5660000;79.5660000;79.5660000;79.5660000;2
USDINR;60;20220810;060000;79.5300000;79.5540000;79.5300000;79.5540000;4
USDINR;60;20220810;070000;79.5440000;79.6600000;79.5010000;79.5200000;449
USDINR;60;20220810;080000;79.5275000;79.5450000;79.4650000;79.5125000;919
USDINR;60;20220810;090000;79.5100000;79.5130000;79.4000000;79.4930000;950
USDINR;60;20220810;100000;79.4825000;79.5120000;79.4340000;79.4750000;907
USDINR;60;20220810;110000;79.4780000;79.5000000;79.4220000;79.4670000;730
USDINR;60;20220810;120000;79.4730000;79.5250000;79.4400000;79.4930000;753
USDINR;60;20220810;130000;79.5200000;79.5280000;79.4570000;79.5125000;928
USDINR;60;20220810;140000;79.5125000;79.5220000;79.4400000;79.4850000;170
USDINR;60;20220810;150000;79.4860000;79.5150000;79.4470000;79.4470000;113
USDINR;60;20220810;160000;79.4520000;79.4740000;79.1370000;79.2670000;116
USDINR;60;20220810;170000;79.2690000;79.2980000;79.1320000;79.1430000;153
USDINR;60;20220810;180000;79.1450000;79.1450000;79.0010000;79.0200000;161
USDINR;60;20220810;190000;79.0320000;79.1120000;79.0160000;79.0950000;102
USDINR;60;20220810;200000;79.0820000;79.0820000;79.0450000;79.0570000;35
USDINR;60;20220810;210000;79.0650000;79.0650000;79.0470000;79.0550000;36
USDINR;60;20220810;220000;79.0570000;79.0820000;79.0470000;79.0820000;15
USDINR;60;20220810;230000;79.0820000;79.0820000;79.0820000;79.0820000;2
USDINR;60;20220811;000000;79.0900000;79.0900000;79.0750000;79.0750000;2
USDINR;60;20220811;010000;79.0900000;79.0900000;79.0510000;79.0510000;2
USDINR;60;20220811;020000;79.0930000;79.0930000;79.0800000;79.0930000;6
USDINR;60;20220811;030000;79.0930000;79.0930000;79.0930000;79.0930000;1
USDINR;60;20220811;050000;79.0940000;79.1480000;79.0940000;79.1480000;20
USDINR;60;20220811;060000;79.1470000;79.1660000;79.1260000;79.1660000;20
USDINR;60;20220811;070000;79.1650000;79.3130000;79.1650000;79.2820000;405
USDINR;60;20220811;080000;79.2800000;79.3400000;79.2480000;79.3300000;867
USDINR;60;20220811;090000;79.3430000;79.4630000;79.3220000;79.4525000;927
USDINR;60;20220811;100000;79.4500000;79.5050000;79.4060000;79.4090000;780
USDINR;60;20220811;110000;79.4450000;79.4750000;79.3970000;79.4170000;704
USDINR;60;20220811;120000;79.4480000;79.4900000;79.4030000;79.4575000;787
USDINR;60;20220811;130000;79.4550000;79.6950000;79.4110000;79.6275000;833
USDINR;60;20220811;140000;79.6225000;79.6410000;79.5710000;79.6140000;210
USDINR;60;20220811;150000;79.6410000;79.6480000;79.5960000;79.6030000;62
USDINR;60;20220811;160000;79.5510000;79.5840000;79.4760000;79.4760000;61
USDINR;60;20220811;170000;79.5110000;79.5310000;79.4510000;79.4550000;134
USDINR;60;20220811;180000;79.4710000;79.5210000;79.4280000;79.4920000;181
