<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDNOK;60;20220807;220000;9.8214000;9.8214000;9.8214000;9.8214000;1
USDNOK;60;20220807;230000;9.8239000;9.8242000;9.8195000;9.8195000;9
USDNOK;60;20220808;000000;9.8239000;9.8281000;9.8239000;9.8271000;16
USDNOK;60;20220808;010000;9.8267000;9.8267000;9.8255000;9.8255000;12
USDNOK;60;20220808;020000;9.8116500;9.8289000;9.8108700;9.8285000;386
USDNOK;60;20220808;030000;9.8138000;9.8284000;9.8042300;9.8123200;17984
USDNOK;60;20220808;040000;9.8125600;9.8272000;9.8016500;9.8077000;33292
USDNOK;60;20220808;050000;9.8078000;9.8174000;9.7856000;9.7876200;46826
USDNOK;60;20220808;060000;9.7894900;9.8025000;9.7785500;9.7851000;42238
USDNOK;60;20220808;070000;9.7891000;9.7952000;9.7787000;9.7826200;67219
USDNOK;60;20220808;080000;9.7827200;9.7931000;9.7790000;9.7825000;50061
USDNOK;60;20220808;090000;9.7806900;9.7886600;9.7673400;9.7797500;95703
USDNOK;60;20220808;100000;9.7784700;9.7918300;9.7668700;9.7731900;106773
USDNOK;60;20220808;110000;9.7747200;9.7761400;9.7257500;9.7589000;146186
USDNOK;60;20220808;120000;9.7589000;9.7877200;9.7473000;9.7603000;116161
USDNOK;60;20220808;130000;9.7602300;9.7913800;9.7570300;9.7741000;133397
USDNOK;60;20220808;140000;9.7743100;9.7779000;9.7493000;9.7556600;120114
USDNOK;60;20220808;150000;9.7555600;9.7797300;9.7453000;9.7475000;119233
USDNOK;60;20220808;160000;9.7473000;9.7601600;9.7273000;9.7312000;132935
USDNOK;60;20220808;170000;9.7327800;9.7481400;9.7130400;9.7297000;134397
USDNOK;60;20220808;180000;9.7305300;9.7348000;9.6997000;9.7070000;161629
USDNOK;60;20220808;190000;9.7072000;9.7280100;9.6960700;9.7236000;117283
USDNOK;60;20220808;200000;9.7255000;9.7400900;9.7098000;9.7368000;81992
USDNOK;60;20220808;210000;9.7368000;9.7409000;9.7139900;9.7234100;96080
USDNOK;60;20220808;220000;9.7201000;9.7518000;9.7185000;9.7419000;88446
USDNOK;60;20220808;230000;9.7431500;9.7526000;9.7339800;9.7380100;63233
USDNOK;60;20220809;000000;9.7368100;9.7428000;9.7249100;9.7391000;29888
USDNOK;60;20220809;010000;9.7389000;9.7507800;9.7381000;9.7469100;3076
USDNOK;60;20220809;020000;9.7473900;9.7482000;9.7300300;9.7371000;30592
USDNOK;60;20220809;030000;9.7376700;9.7398000;9.7257000;9.7366000;33680
USDNOK;60;20220809;040000;9.7304000;9.7454400;9.7227000;9.7388000;98385
USDNOK;60;20220809;050000;9.7388000;9.7470000;9.7295000;9.7365900;98417
USDNOK;60;20220809;060000;9.7398000;9.7523000;9.7284000;9.7377000;101439
USDNOK;60;20220809;070000;9.7360000;9.7419000;9.7257000;9.7332000;91573
