<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20220806;010000;60.4850000;60.5349000;60.4850000;60.5349000;7
USDRUB;60;20220807;230000;60.5000000;60.5000000;60.5000000;60.5000000;1
USDRUB;60;20220808;010000;60.4850000;60.5280000;60.4750000;60.5143000;15
USDRUB;60;20220808;020000;60.5099000;60.5232000;60.4850000;60.5232000;13
USDRUB;60;20220808;030000;60.5152000;60.5226000;60.5000000;60.5153000;13
USDRUB;60;20220808;040000;60.5223000;60.5223000;60.5000000;60.5152000;13
USDRUB;60;20220808;050000;60.5024000;60.5161000;60.5000000;60.5161000;15
USDRUB;60;20220808;060000;60.5146000;60.5200000;60.5000000;60.5200000;13
USDRUB;60;20220808;070000;60.5146000;60.6162000;60.4850000;60.6000000;91
USDRUB;60;20220808;080000;60.5850000;60.6170000;60.5350000;60.5850000;1196
USDRUB;60;20220808;090000;60.5350000;60.6170000;60.5350000;60.6000000;1102
USDRUB;60;20220808;100000;60.5500000;60.6194000;60.5350000;60.5711000;406
USDRUB;60;20220808;110000;61.0500000;61.1750000;60.1250000;60.5500000;45
USDRUB;60;20220808;120000;60.1850000;60.9250000;60.1262000;60.6750000;30
USDRUB;60;20220808;130000;60.5360000;60.7000000;59.9500000;60.5000000;29
USDRUB;60;20220808;140000;59.9500000;60.5000000;59.5000000;60.4350000;75
USDRUB;60;20220808;150000;60.4729000;60.4798000;59.6988000;60.2350000;45
USDRUB;60;20220808;160000;60.2980000;60.6010000;59.7500000;60.6010000;45
USDRUB;60;20220808;170000;60.5640000;61.3000000;59.9250000;61.0330000;64
USDRUB;60;20220808;180000;60.9020000;61.5500000;60.4250000;61.0100000;144
USDRUB;60;20220808;190000;60.5630000;61.4000000;59.0000000;61.3000000;25
USDRUB;60;20220808;200000;60.7500000;61.6750000;59.5000000;61.6750000;7
USDRUB;60;20220809;010000;61.1250000;61.1250000;61.1250000;61.1250000;2
USDRUB;60;20220809;020000;61.1250000;61.1250000;61.1250000;61.1250000;1
USDRUB;60;20220809;060000;60.2350000;60.7000000;59.3750000;60.6850000;5
USDRUB;60;20220809;070000;60.7157000;60.7199000;60.7145000;60.7181000;12
USDRUB;60;20220809;080000;60.7104000;60.7195000;60.6350000;60.6670000;15
USDRUB;60;20220809;090000;61.2270000;61.2270000;60.5850000;60.7500000;18
USDRUB;60;20220809;100000;60.8000000;61.5500000;60.5000000;60.8000000;42
USDRUB;60;20220809;110000;60.6000000;61.9250000;60.2350000;60.3000000;95
USDRUB;60;20220809;120000;60.2850000;61.1750000;59.9850000;60.9250000;204
USDRUB;60;20220809;130000;61.1750000;61.1750000;59.7500000;60.2000000;107
USDRUB;60;20220809;140000;59.8750000;60.6750000;59.8750000;60.3500000;400
USDRUB;60;20220809;150000;60.3000000;61.2230000;60.2850000;60.4350000;858
USDRUB;60;20220809;160000;60.5050000;60.9250000;60.0520000;60.4662000;55
USDRUB;60;20220809;170000;60.4671000;60.5530000;60.0510000;60.4738000;48
USDRUB;60;20220809;180000;60.4694000;61.4250000;60.2640000;60.4500000;78
USDRUB;60;20220809;190000;60.9040000;61.4250000;60.4250000;60.4500000;35
USDRUB;60;20220809;200000;60.4500000;60.4742000;60.4500000;60.4688000;13
USDRUB;60;20220809;210000;60.4644000;60.4712000;60.4500000;60.4653000;13
USDRUB;60;20220809;220000;60.4641000;60.4703000;60.4350000;60.4641000;14
USDRUB;60;20220809;230000;60.4671000;60.4783000;60.4671000;60.4783000;2
USDRUB;60;20220810;000000;60.4668000;60.4668000;60.4668000;60.4668000;1
USDRUB;60;20220810;010000;60.4350000;60.4702000;60.4250000;60.4673000;15
USDRUB;60;20220810;020000;60.4250000;60.4700000;60.4250000;60.4699000;15
USDRUB;60;20220810;030000;60.4628000;60.4682000;60.4500000;60.4649000;14
USDRUB;60;20220810;040000;60.4675000;61.2000000;60.4637000;60.4669000;12
USDRUB;60;20220810;050000;60.4666000;60.4673000;60.4634000;60.4673000;12
USDRUB;60;20220810;060000;60.4675000;60.4708000;60.4640000;60.4676000;12
USDRUB;60;20220810;070000;60.4673000;60.4675000;60.1850000;60.2202000;17
USDRUB;60;20220810;080000;60.2160000;60.2214000;60.2129000;60.2167000;12
USDRUB;60;20220810;090000;60.7850000;60.7850000;60.1850000;60.2192000;18
USDRUB;60;20220810;100000;60.2176000;60.9000000;60.0120000;60.2500000;43
USDRUB;60;20220810;110000;60.2676000;60.8000000;59.8750000;60.4000000;140
USDRUB;60;20220810;120000;60.3850000;60.7860000;59.7250000;60.3850000;201
USDRUB;60;20220810;130000;60.4171000;60.7310000;59.8750000;60.4500000;123
USDRUB;60;20220810;140000;60.4350000;60.6320000;59.9000000;60.4000000;151
USDRUB;60;20220810;150000;60.6500000;60.9000000;60.1000000;60.7500000;139
USDRUB;60;20220810;160000;60.8919000;61.0304000;60.1250000;60.3500000;140
USDRUB;60;20220810;170000;60.8250000;61.4500000;60.4000000;60.6000000;163
USDRUB;60;20220810;180000;60.6000000;61.1750000;60.5000000;60.5000000;52
USDRUB;60;20220810;190000;60.6850000;61.5500000;60.6850000;60.7500000;20
USDRUB;60;20220810;200000;61.1750000;61.4250000;60.6250000;61.3000000;15
USDRUB;60;20220810;230000;61.1750000;61.3000000;60.5000000;60.6250000;8
USDRUB;60;20220811;000000;60.8750000;61.4250000;60.8750000;60.8750000;3
USDRUB;60;20220811;010000;60.7500000;61.4883000;60.7500000;61.4866000;7
USDRUB;60;20220811;020000;61.4824000;61.5078000;61.4690000;61.5024000;7
USDRUB;60;20220811;070000;60.3850000;60.4114000;60.3850000;60.4086000;8
USDRUB;60;20220811;080000;60.4091000;61.1750000;60.3850000;60.4085000;11
USDRUB;60;20220811;090000;61.0020000;61.0050000;60.4000000;60.5071000;23
USDRUB;60;20220811;100000;60.5180000;61.1750000;60.3850000;60.3850000;71
USDRUB;60;20220811;110000;60.3983000;61.2500000;59.6000000;60.5500000;154
USDRUB;60;20220811;120000;61.0250000;61.4000000;60.4000000;61.2500000;126
USDRUB;60;20220811;130000;61.1890000;61.8020000;59.6570000;60.5500000;115
USDRUB;60;20220811;140000;60.6750000;60.9000000;59.8750000;60.6000000;99
USDRUB;60;20220811;150000;60.8420000;60.9000000;60.5120000;60.7220000;44
USDRUB;60;20220811;160000;60.0500000;61.1750000;59.8750000;60.6094000;93
USDRUB;60;20220811;170000;60.6108000;61.4250000;60.0500000;61.4250000;121
USDRUB;60;20220811;180000;61.2260000;61.4250000;60.4250000;61.0690000;61
USDRUB;60;20220811;190000;60.4000000;61.2250000;59.6750000;60.6112000;71
USDRUB;60;20220811;200000;60.0000000;60.6240000;59.7500000;60.6078000;17
USDRUB;60;20220811;210000;60.6125000;60.6149000;60.5996000;60.6000000;13
USDRUB;60;20220811;220000;60.6000000;60.6182000;60.6000000;60.6046000;14
USDRUB;60;20220811;230000;60.6049000;60.8000000;60.2500000;60.6000000;19
USDRUB;60;20220812;000000;60.6108000;60.6108000;60.6000000;60.6025000;15
USDRUB;60;20220812;010000;60.5850000;60.6211000;60.5750000;60.6182000;15
USDRUB;60;20220812;020000;60.6155000;60.6217000;60.5850000;60.6156000;14
USDRUB;60;20220812;030000;60.6173000;60.6203000;60.6000000;60.6188000;13
USDRUB;60;20220812;040000;60.5965000;60.6220000;60.5965000;60.6200000;12
USDRUB;60;20220812;050000;60.6235000;60.6235000;60.6000000;60.6164000;15
USDRUB;60;20220812;060000;60.6097000;60.6202000;60.6000000;60.6156000;14
USDRUB;60;20220812;070000;60.6226000;60.6232000;60.4850000;60.5176000;14
USDRUB;60;20220812;080000;60.5167000;60.5199000;60.5123000;60.5171000;12
USDRUB;60;20220812;090000;60.5156000;60.6238000;60.5156000;60.6150000;14
USDRUB;60;20220812;100000;60.6223000;61.3000000;59.2500000;60.5350000;88
USDRUB;60;20220812;110000;60.3750000;61.2750000;60.3750000;60.3750000;139
USDRUB;60;20220812;120000;60.7758000;61.7250000;60.3750000;60.9000000;136
USDRUB;60;20220812;130000;60.8850000;62.1500000;60.1250000;60.9500000;146
USDRUB;60;20220812;140000;60.4500000;61.4500000;60.3500000;60.9687000;82
USDRUB;60;20220812;150000;60.9755000;61.2500000;60.5500000;60.9500000;53
USDRUB;60;20220812;160000;60.8990000;61.7499000;60.4250000;61.7499000;88
USDRUB;60;20220812;170000;61.7325000;61.7325000;60.1250000;60.6350000;113
USDRUB;60;20220812;180000;60.6350000;61.0500000;59.9500000;60.9250000;52
USDRUB;60;20220812;190000;60.3750000;61.1750000;60.2500000;60.5000000;6
USDRUB;60;20220812;200000;60.0000000;61.5500000;59.5000000;60.7500000;9
USDRUB;60;20220812;220000;60.5000000;60.5000000;60.5000000;60.5000000;1
USDRUB;60;20220813;010000;60.7500000;60.7500000;60.7500000;60.7500000;1
USDRUB;60;20220814;200000;60.7500000;60.7500000;60.7500000;60.7500000;1
USDRUB;60;20220814;210000;60.7500000;60.7500000;60.7500000;60.7500000;3
USDRUB;60;20220815;000000;60.7500000;60.7500000;60.7500000;60.7500000;1
USDRUB;60;20220815;010000;60.7500000;61.5005000;60.7500000;61.4946000;10
USDRUB;60;20220815;020000;61.4928000;61.5011000;61.4831000;61.5011000;7
USDRUB;60;20220815;040000;61.5500000;61.5500000;61.5500000;61.5500000;1
USDRUB;60;20220815;070000;60.9350000;60.9500000;60.5000000;60.6154000;8
USDRUB;60;20220815;080000;60.6188000;60.6193000;60.6148000;60.6191000;12
USDRUB;60;20220815;090000;60.6152000;60.7205000;60.6152000;60.7172000;14
USDRUB;60;20220815;100000;60.7143000;61.6500000;60.5850000;61.2730000;28
USDRUB;60;20220815;110000;61.2000000;61.8000000;60.5750000;61.2000000;106
USDRUB;60;20220815;120000;61.2214000;62.0000000;60.9250000;61.1850000;115
USDRUB;60;20220815;130000;61.7910000;61.7910000;60.8750000;61.3626000;65
USDRUB;60;20220815;140000;61.3611000;61.6750000;60.7500000;61.5145000;69
USDRUB;60;20220815;150000;61.5141000;61.7490000;60.6500000;61.4000000;69
USDRUB;60;20220815;160000;61.4000000;61.8080000;60.6500000;61.0500000;88
USDRUB;60;20220815;170000;61.5500000;61.8860000;60.6750000;61.5830000;82
USDRUB;60;20220815;180000;61.5840000;61.7477000;60.6500000;60.6500000;44
USDRUB;60;20220815;190000;61.1040000;61.1040000;61.0330000;61.1040000;4
USDRUB;60;20220815;200000;60.0000000;61.3000000;60.0000000;60.7500000;6
USDRUB;60;20220815;220000;60.5000000;60.5000000;60.5000000;60.5000000;1
USDRUB;60;20220816;010000;60.7500000;61.4952000;60.7500000;61.4928000;7
USDRUB;60;20220816;020000;61.4910000;61.5300000;60.7500000;61.4846000;8
USDRUB;60;20220816;060000;60.0000000;60.0000000;60.0000000;60.0000000;2
USDRUB;60;20220816;070000;60.5000000;61.3211000;60.5000000;61.3157000;13
USDRUB;60;20220816;080000;61.3178000;61.3197000;61.3045000;61.3148000;12
USDRUB;60;20220816;090000;61.3172000;61.3684000;61.3148000;61.3600000;14
USDRUB;60;20220816;100000;61.3679000;61.4000000;59.8500000;61.4000000;74
USDRUB;60;20220816;110000;61.5000000;61.6234000;60.6250000;61.4712000;124
USDRUB;60;20220816;120000;61.4760000;61.5239000;60.3000000;61.3669000;162
USDRUB;60;20220816;130000;61.2330000;61.3764000;60.3000000;61.2850000;61
USDRUB;60;20220816;140000;61.1450000;61.3257000;60.3000000;61.3094000;67
USDRUB;60;20220816;150000;61.3188000;61.3227000;60.2000000;61.3085000;78
USDRUB;60;20220816;160000;61.2951000;61.3021000;60.1000000;60.1000000;101
USDRUB;60;20220816;170000;60.3590000;61.0500000;59.6000000;60.8980000;91
USDRUB;60;20220816;180000;60.9600000;61.4260000;60.2000000;61.3040000;134
USDRUB;60;20220816;190000;61.3010000;61.3010000;60.1000000;60.6500000;37
USDRUB;60;20220816;200000;60.2500000;60.9250000;60.1250000;60.9250000;6
USDRUB;60;20220816;210000;61.0500000;61.0500000;60.1500000;60.4000000;9
USDRUB;60;20220816;220000;60.7500000;60.7500000;60.7500000;60.7500000;1
USDRUB;60;20220816;230000;60.0000000;60.8000000;59.7500000;60.8000000;16
USDRUB;60;20220817;000000;60.5000000;60.7500000;60.5000000;60.7500000;2
USDRUB;60;20220817;010000;60.7500000;61.4929000;60.7500000;61.4925000;7
USDRUB;60;20220817;020000;61.4910000;61.4919000;61.4734000;61.4873000;7
USDRUB;60;20220817;070000;60.5000000;61.3000000;60.5000000;60.9155000;18
USDRUB;60;20220817;080000;60.9158000;60.9182000;60.9152000;60.9161000;12
USDRUB;60;20220817;090000;60.9161000;60.9215000;60.9128000;60.9128000;12
USDRUB;60;20220817;100000;59.7500000;60.9209000;59.5000000;60.8500000;68
USDRUB;60;20220817;110000;60.7850000;61.1000000;59.4500000;60.4500000;203
USDRUB;60;20220817;120000;60.4230000;61.1700000;59.4250000;60.4750000;176
USDRUB;60;20220817;130000;60.4960000;61.0559000;59.3250000;60.5850000;260
USDRUB;60;20220817;140000;60.4980000;60.7677000;59.5000000;60.5254000;167
USDRUB;60;20220817;150000;60.3350000;60.8117000;59.5750000;59.7250000;185
USDRUB;60;20220817;160000;60.5620000;60.9364000;59.6500000;60.1550000;129
USDRUB;60;20220817;170000;60.1780000;60.7500000;59.5750000;60.3670000;105
USDRUB;60;20220817;180000;60.3470000;61.0500000;59.4000000;59.8750000;133
USDRUB;60;20220817;190000;60.2960000;60.6250000;59.4500000;60.1120000;28
USDRUB;60;20220817;200000;60.1120000;60.1120000;60.1120000;60.1120000;3
USDRUB;60;20220817;210000;59.3500000;60.1500000;59.2000000;59.2000000;5
USDRUB;60;20220817;220000;59.7500000;59.7500000;59.7500000;59.7500000;1
USDRUB;60;20220818;010000;59.7500000;60.4849000;59.7500000;60.4849000;7
USDRUB;60;20220818;020000;60.4936000;60.4936000;60.4716000;60.4716000;7
USDRUB;60;20220818;060000;59.2000000;59.2000000;59.2000000;59.2000000;2
USDRUB;60;20220818;070000;59.2000000;60.6563000;59.2000000;60.6551000;10
USDRUB;60;20220818;080000;60.6593000;60.7078000;60.6497000;60.7030000;14
USDRUB;60;20220818;090000;60.7097000;60.7147000;60.6992000;60.7113000;12
USDRUB;60;20220818;100000;60.7850000;60.8114000;59.6885000;60.6000000;47
USDRUB;60;20220818;110000;60.5850000;60.7675000;59.3500000;60.7644000;103
USDRUB;60;20220818;120000;59.6750000;60.7720000;59.3500000;60.4000000;167
USDRUB;60;20220818;130000;60.3850000;60.6250000;59.1000000;59.9548000;207
USDRUB;60;20220818;140000;59.9750000;60.0250000;58.6750000;59.3850000;168
USDRUB;60;20220818;150000;59.4074000;59.8600000;58.7750000;59.4019000;58
USDRUB;60;20220818;160000;59.6000000;59.6000000;58.6000000;58.7500000;65
USDRUB;60;20220818;170000;59.2400000;60.3000000;58.8500000;58.8750000;99
USDRUB;60;20220818;180000;59.3250000;59.9000000;58.7750000;58.9250000;65
USDRUB;60;20220818;190000;58.8750000;59.6750000;58.8750000;59.1250000;8
USDRUB;60;20220818;200000;58.9250000;59.7250000;58.7500000;59.0000000;10
USDRUB;60;20220819;010000;59.2500000;59.9985000;59.2500000;59.9985000;7
USDRUB;60;20220819;020000;59.9953000;59.9953000;59.9819000;59.9819000;7
USDRUB;60;20220819;060000;58.7500000;58.7500000;58.7500000;58.7500000;1
USDRUB;60;20220819;070000;59.0000000;59.4198000;59.0000000;59.4157000;9
USDRUB;60;20220819;080000;59.4174000;59.4189000;59.4125000;59.4174000;12
USDRUB;60;20220819;090000;58.9875000;59.5754000;58.9875000;59.5642000;18
USDRUB;60;20220819;100000;59.5733000;59.7224000;58.8000000;59.7118000;44
USDRUB;60;20220819;110000;59.5000000;59.6850000;58.7000000;59.4148000;121
USDRUB;60;20220819;120000;59.4570000;59.6130000;58.6050000;59.4165000;147
USDRUB;60;20220819;130000;59.4610000;59.5330000;58.5800000;59.0695000;127
USDRUB;60;20220819;140000;58.9850000;59.3550000;58.5500000;58.9500000;104
USDRUB;60;20220819;150000;59.2350000;59.5021000;57.9000000;58.8280000;152
USDRUB;60;20220819;160000;58.8280000;59.3750000;58.1000000;58.7040000;128
USDRUB;60;20220819;170000;58.8000000;59.3500000;57.7500000;58.4500000;92
USDRUB;60;20220819;180000;58.8900000;59.3000000;58.2500000;58.5000000;31
USDRUB;60;20220819;190000;58.4500000;59.3470000;58.2500000;58.5000000;40
USDRUB;60;20220819;200000;58.6250000;59.0500000;58.2500000;59.0500000;5
USDRUB;60;20220819;210000;58.7500000;59.3000000;58.2500000;58.5000000;10
USDRUB;60;20220820;010000;58.7500000;58.7500000;58.7500000;58.7500000;1
USDRUB;60;20220822;010000;58.7500000;59.4941000;58.7500000;59.4935000;8
USDRUB;60;20220822;020000;59.4963000;59.4963000;59.4600000;59.4858000;7
USDRUB;60;20220822;060000;58.2500000;58.2500000;58.2500000;58.2500000;1
USDRUB;60;20220822;070000;58.9350000;58.9692000;58.5000000;58.9662000;13
USDRUB;60;20220822;080000;58.9665000;59.0183000;58.9621000;59.0183000;14
USDRUB;60;20220822;090000;59.0188000;59.1186000;59.0095000;59.1186000;13
USDRUB;60;20220822;100000;59.1242000;59.1242000;58.5000000;58.5000000;11
USDRUB;60;20220822;110000;59.3350000;60.0500000;58.5000000;59.9850000;92
USDRUB;60;20220822;120000;60.0269000;60.0269000;58.8750000;59.8850000;49
USDRUB;60;20220822;130000;59.9176000;59.9194000;58.8250000;59.7201000;59
USDRUB;60;20220822;140000;59.7177000;59.8240000;58.6500000;59.5707000;55
USDRUB;60;20220822;150000;59.5603000;59.6410000;58.4750000;59.4410000;71
USDRUB;60;20220822;160000;59.4570000;59.7939000;58.6500000;59.5980000;81
USDRUB;60;20220822;170000;59.7263000;60.1000000;58.8500000;59.1250000;76
USDRUB;60;20220822;180000;59.6720000;60.1750000;59.1250000;59.6750000;52
USDRUB;60;20220822;190000;59.9250000;60.0500000;58.7500000;59.3750000;45
USDRUB;60;20220822;220000;58.8750000;58.8750000;58.8750000;58.8750000;3
USDRUB;60;20220822;230000;58.8750000;58.8750000;58.8750000;58.8750000;1
USDRUB;60;20220823;010000;59.3750000;60.1203000;59.3750000;60.1149000;8
USDRUB;60;20220823;020000;60.1170000;60.1330000;60.1109000;60.1236000;7
USDRUB;60;20220823;060000;59.5350000;59.8191000;59.5350000;59.8164000;5
USDRUB;60;20220823;070000;59.8179000;59.8234000;59.8128000;59.8158000;12
USDRUB;60;20220823;080000;59.8212000;59.9350000;59.7850000;59.8152000;14
USDRUB;60;20220823;090000;59.8192000;59.8192000;59.8090000;59.8179000;12
USDRUB;60;20220823;100000;59.8131000;59.8210000;58.0000000;59.7850000;23
USDRUB;60;20220823;110000;59.1250000;60.0850000;58.4500000;58.8750000;64
USDRUB;60;20220823;120000;59.9313000;60.1500000;59.0000000;59.6850000;49
