<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUB;D;20220806;0;8.9465588;;;8.9539397;
CNYRUB;D;20220807;0;8.9487775;;;8.9487775;
CNYRUB;D;20220808;0;8.9465588;;;8.9494365;
CNYRUB;D;20220808;0;8.9502418;;;8.9522091;
CNYRUB;D;20220808;0;8.9510258;;;8.9510406;
CNYRUB;D;20220808;0;8.9520760;;;8.9500991;
CNYRUB;D;20220808;0;8.9480737;;;8.9458660;
CNYRUB;D;20220808;0;8.9457765;;;8.9481622;
CNYRUB;D;20220808;0;8.9473638;;;8.9603880;
CNYRUB;D;20220808;0;8.9581701;;;8.9593623;
CNYRUB;D;20220808;0;8.9519683;;;8.9607855;
CNYRUB;D;20220808;0;8.9533921;;;8.9639348;
CNYRUB;D;20220808;0;9.0348073;;;8.9541865;
CNYRUB;D;20220808;0;8.9002100;;;8.9729370;
CNYRUB;D;20220808;0;8.9523810;;;8.9491746;
CNYRUB;D;20220808;0;8.8678185;;;8.9407501;
CNYRUB;D;20220808;0;8.9463570;;;8.9144591;
CNYRUB;D;20220808;0;8.9237827;;;8.9682270;
CNYRUB;D;20220808;0;8.9636800;;;9.0395154;
CNYRUB;D;20220808;0;9.0206476;;;9.0378490;
CNYRUB;D;20220808;0;8.9716317;;;9.0808088;
CNYRUB;D;20220808;0;8.9993334;;;9.1363603;
CNYRUB;D;20220809;0;9.0548848;;;9.0548848;
CNYRUB;D;20220809;0;9.0548848;;;9.0548848;
CNYRUB;D;20220809;0;8.9230427;;;8.9897045;
CNYRUB;D;20220809;0;8.9942523;;;8.9946078;
CNYRUB;D;20220809;0;8.9934672;;;8.9779942;
CNYRUB;D;20220809;0;9.0608675;;;8.9902772;
CNYRUB;D;20220809;0;8.9976766;;;8.9990083;
CNYRUB;D;20220809;0;8.9694063;;;8.9256639;
CNYRUB;D;20220809;0;8.9234436;;;9.0239206;
CNYRUB;D;20220809;0;9.0609494;;;8.9129727;
CNYRUB;D;20220809;0;8.8651170;;;8.9335939;
CNYRUB;D;20220809;0;8.9261924;;;8.9497534;
CNYRUB;D;20220809;0;8.9601197;;;8.9563633;
CNYRUB;D;20220809;0;8.9564966;;;8.9564277;
CNYRUB;D;20220809;0;8.9557761;;;8.9515771;
CNYRUB;D;20220809;0;9.0188065;;;8.9529028;
CNYRUB;D;20220809;0;8.9529028;;;8.9570138;
CNYRUB;D;20220809;0;8.9567600;;;8.9553015;
CNYRUB;D;20220809;0;8.9551237;;;8.9543280;
CNYRUB;D;20220809;0;8.9547723;;;8.9564310;
CNYRUB;D;20220810;0;8.9547279;;;8.9547279;
CNYRUB;D;20220810;0;8.9500185;;;8.9546693;
CNYRUB;D;20220810;0;8.9485376;;;8.9551870;
CNYRUB;D;20220810;0;8.9541355;;;8.9544465;
CNYRUB;D;20220810;0;8.9554947;;;8.9501036;
CNYRUB;D;20220810;0;8.9499267;;;8.9488382;
CNYRUB;D;20220810;0;8.9488678;;;8.9494124;
CNYRUB;D;20220810;0;8.9493680;;;8.9126645;
CNYRUB;D;20220810;0;8.9120429;;;8.9128060;
CNYRUB;D;20220810;0;8.9967882;;;8.9113295;
CNYRUB;D;20220810;0;8.9110927;;;8.9162831;
CNYRUB;D;20220810;0;8.9186238;;;8.9395397;
CNYRUB;D;20220810;0;8.9373196;;;8.9389072;
CNYRUB;D;20220810;0;8.9435267;;;8.9487942;
CNYRUB;D;20220810;0;8.9465737;;;8.9466902;
CNYRUB;D;20220810;0;8.9837212;;;9.0192410;
CNYRUB;D;20220810;0;9.0403082;;;8.9689098;
CNYRUB;D;20220810;0;9.0392332;;;9.0138331;
CNYRUB;D;20220810;0;9.0138331;;;8.9989588;
CNYRUB;D;20220810;0;9.0264763;;;9.0361446;
CNYRUB;D;20220810;0;9.0993604;;;9.1179533;
CNYRUB;D;20220810;0;9.0993604;;;9.0175517;
CNYRUB;D;20220811;0;9.0547375;;;9.0537948;
CNYRUB;D;20220811;0;9.0361446;;;9.1457088;
