<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;60;20220806;010000;61.5757000;61.6230000;61.5757000;61.6040000;8
EURRUB;60;20220807;230000;61.6040000;61.6040000;61.6040000;61.6040000;5
EURRUB;60;20220808;010000;61.5332000;61.6030000;61.5332000;61.5426000;53
EURRUB;60;20220808;020000;61.5487000;61.5680000;61.4943000;61.5235000;114
EURRUB;60;20220808;030000;61.5193000;61.5690000;61.5042000;61.5133000;110
EURRUB;60;20220808;040000;61.5169000;61.5580000;61.4359000;61.4746000;122
EURRUB;60;20220808;050000;61.4770000;61.5760000;61.4722000;61.5338000;126
EURRUB;60;20220808;060000;61.5338000;61.6200000;61.5163000;61.5618000;122
EURRUB;60;20220808;070000;61.5593000;61.7310000;61.5509000;61.6957000;111
EURRUB;60;20220808;080000;61.6920000;61.7360000;61.6108000;61.6932000;128
EURRUB;60;20220808;090000;61.6987000;61.7230000;61.6218000;61.7024000;127
EURRUB;60;20220808;100000;61.7042000;61.7420000;61.5600000;61.5975000;129
EURRUB;60;20220808;110000;61.5920000;62.3300000;61.3888000;61.4304000;129
EURRUB;60;20220808;120000;61.4160000;62.0750000;61.2392000;61.3269000;129
EURRUB;60;20220808;130000;61.3052000;62.0150000;60.9355000;60.9942000;131
EURRUB;60;20220808;140000;61.0002000;61.7830000;61.0002000;61.5810000;130
EURRUB;60;20220808;150000;61.5816000;61.6580000;61.3580000;61.4314000;130
EURRUB;60;20220808;160000;61.4278000;61.9770000;61.4145000;61.9770000;21
EURRUB;60;20220808;170000;61.9750000;62.1160000;61.8350000;62.0470000;12
EURRUB;60;20220808;180000;62.2390000;62.9010000;62.1374000;62.8780000;16
EURRUB;60;20220808;190000;62.7250000;62.7410000;62.6360000;62.7010000;12
EURRUB;60;20220808;200000;62.7620000;63.1430000;62.7620000;63.1330000;12
EURRUB;60;20220808;210000;63.1270000;63.1750000;63.1270000;63.1750000;3
EURRUB;60;20220809;010000;63.0930000;63.0930000;63.0072000;63.0103000;61
EURRUB;60;20220809;020000;63.0087000;63.0730000;63.0025000;63.0730000;17
EURRUB;60;20220809;040000;63.0140000;63.0150000;63.0010000;63.0010000;6
