<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
INRRUB;D;20220806;0;0.7622558;;;0.7628847;
INRRUB;D;20220807;0;0.7624449;;;0.7624449;
INRRUB;D;20220808;0;0.7622558;;;0.7626251;
INRRUB;D;20220808;0;0.7625696;;;0.7627372;
INRRUB;D;20220808;0;0.7626364;;;0.7626377;
INRRUB;D;20220808;0;0.7627259;;;0.7616765;
INRRUB;D;20220808;0;0.7614675;;;0.7608260;
INRRUB;D;20220808;0;0.7607019;;;0.7607794;
INRRUB;D;20220808;0;0.7605920;;;0.7614022;
INRRUB;D;20220808;0;0.7612615;;;0.7617641;
INRRUB;D;20220808;0;0.7610158;;;0.7614979;
INRRUB;D;20220808;0;0.7609174;;;0.7605852;
INRRUB;D;20220808;0;0.7665746;;;0.7602009;
INRRUB;D;20220808;0;0.7569298;;;0.7633804;
INRRUB;D;20220808;0;0.7615741;;;0.7608914;
INRRUB;D;20220808;0;0.7539553;;;0.7593577;
INRRUB;D;20220808;0;0.7598625;;;0.7569113;
INRRUB;D;20220808;0;0.7578553;;;0.7617593;
INRRUB;D;20220808;0;0.7612655;;;0.7668522;
INRRUB;D;20220808;0;0.7652543;;;0.7665825;
INRRUB;D;20220808;0;0.7609660;;;0.7702263;
INRRUB;D;20220808;0;0.7633156;;;0.7749381;
INRRUB;D;20220809;0;0.7683364;;;0.7683364;
INRRUB;D;20220809;0;0.7685779;;;0.7685489;
INRRUB;D;20220809;0;0.7573300;;;0.7627193;
INRRUB;D;20220809;0;0.7630956;;;0.7628094;
INRRUB;D;20220809;0;0.7627414;;;0.7622248;
INRRUB;D;20220809;0;0.7692801;;;0.7640548;
INRRUB;D;20220809;0;0.7646933;;;0.7648857;
INRRUB;D;20220809;0;0.7623409;;;0.7579948;
INRRUB;D;20220809;0;0.7575205;;;0.7661209;
INRRUB;D;20220809;0;0.7690809;;;0.7570518;
INRRUB;D;20220809;0;0.7528511;;;0.7588045;
INRRUB;D;20220809;0;0.7581949;;;0.7597873;
INRRUB;D;20220809;0;0.7606386;;;0.7599025;
INRRUB;D;20220809;0;0.7599138;;;0.7599980;
INRRUB;D;20220809;0;0.7599236;;;0.7596798;
INRRUB;D;20220809;0;0.7654045;;;0.7597371;
INRRUB;D;20220809;0;0.7596989;;;0.7600116;
INRRUB;D;20220809;0;0.7599276;;;0.7599389;
INRRUB;D;20220809;0;0.7599238;;;0.7599238;
INRRUB;D;20220809;0;0.7603055;;;0.7602170;
INRRUB;D;20220810;0;0.7601680;;;0.7603974;
INRRUB;D;20220810;0;0.7599258;;;0.7604754;
INRRUB;D;20220810;0;0.7599673;;;0.7606947;
INRRUB;D;20220810;0;0.7607058;;;0.7608040;
INRRUB;D;20220810;0;0.7608080;;;0.7609058;
INRRUB;D;20220810;0;0.7608446;;;0.7606619;
INRRUB;D;20220810;0;0.7604062;;;0.7604792;
