<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NOKRUB;D;20220806;0;6.1584906;;;6.1635714;
NOKRUB;D;20220807;0;6.1584503;;;6.1612098;
NOKRUB;D;20220808;0;6.1569234;;;6.1579001;
NOKRUB;D;20220808;0;6.1577030;;;6.1598087;
NOKRUB;D;20220808;0;6.1676884;;;6.1571247;
NOKRUB;D;20220808;0;6.1670607;;;6.1672673;
NOKRUB;D;20220808;0;6.1658120;;;6.1702642;
NOKRUB;D;20220808;0;6.1700483;;;6.1833214;
NOKRUB;D;20220808;0;6.1815886;;;6.1930895;
NOKRUB;D;20220808;0;6.1890266;;;6.1931262;
NOKRUB;D;20220808;0;6.1879518;;;6.1947355;
NOKRUB;D;20220808;0;6.1907698;;;6.1935223;
NOKRUB;D;20220808;0;6.2433080;;;6.1955206;
NOKRUB;D;20220808;0;6.1572096;;;6.2174016;
NOKRUB;D;20220808;0;6.2031581;;;6.1985800;
NOKRUB;D;20220808;0;6.1422733;;;6.1831780;
NOKRUB;D;20220808;0;6.1869227;;;6.1743644;
NOKRUB;D;20220808;0;6.1808856;;;6.2170813;
NOKRUB;D;20220808;0;6.2134129;;;6.2718884;
NOKRUB;D;20220808;0;6.2574105;;;6.2704914;
NOKRUB;D;20220808;0;6.2240186;;;6.3150304;
NOKRUB;D;20220808;0;6.2582413;;;6.3428154;
NOKRUB;D;20220809;0;6.2850239;;;6.2777298;
NOKRUB;D;20220809;0;6.2777298;;;6.2863748;
NOKRUB;D;20220809;0;6.1969527;;;6.2292777;
NOKRUB;D;20220809;0;6.2316294;;;6.2351651;
NOKRUB;D;20220809;0;6.2351427;;;6.2292204;
NOKRUB;D;20220809;0;6.2868496;;;6.2327445;
NOKRUB;D;20220809;0;6.2375672;;;6.2441589;
NOKRUB;D;20220809;0;6.2232546;;;6.1931270;
NOKRUB;D;20220809;0;6.1955315;;;6.2559042;
NOKRUB;D;20220809;0;6.2815747;;;6.1828628;
NOKRUB;D;20220809;0;6.1474568;;;6.1975621;
NOKRUB;D;20220809;0;6.1935086;;;6.2091604;
NOKRUB;D;20220809;0;6.2164800;;;6.2067543;
NOKRUB;D;20220809;0;6.2089244;;;6.2169792;
NOKRUB;D;20220809;0;6.2160156;;;6.2147241;
NOKRUB;D;20220809;0;6.2614632;;;6.2152353;
NOKRUB;D;20220809;0;6.2168525;;;6.2359863;
NOKRUB;D;20220809;0;6.2368511;;;6.2335554;
NOKRUB;D;20220809;0;6.2334316;;;6.2243518;
NOKRUB;D;20220809;0;6.2249297;;;6.2240324;
NOKRUB;D;20220810;0;6.2228489;;;6.2271875;
NOKRUB;D;20220810;0;6.2233165;;;6.2335945;
NOKRUB;D;20220810;0;6.2283605;;;6.2270707;
NOKRUB;D;20220810;0;6.2259035;;;6.2258569;
NOKRUB;D;20220810;0;6.2255477;;;6.2174204;
NOKRUB;D;20220810;0;6.2173895;;;6.2152503;
NOKRUB;D;20220810;0;6.2148620;;;6.2088546;
NOKRUB;D;20220810;0;6.2098695;;;6.1877909;
NOKRUB;D;20220810;0;6.1883513;;;6.1972569;
NOKRUB;D;20220810;0;6.2545853;;;6.1913780;
NOKRUB;D;20220810;0;6.1900807;;;6.1960736;
NOKRUB;D;20220810;0;6.1978836;;;6.2080520;
NOKRUB;D;20220810;0;6.2059999;;;6.2066059;
NOKRUB;D;20220810;0;6.2106394;;;6.2207358;
NOKRUB;D;20220810;0;6.2155591;;;6.2169851;
NOKRUB;D;20220810;0;6.2423065;;;6.2471592;
NOKRUB;D;20220810;0;6.2644054;;;6.2058470;
NOKRUB;D;20220810;0;6.2542093;;;6.2325481;
NOKRUB;D;20220810;0;6.2327596;;;6.2257466;
NOKRUB;D;20220810;0;6.2447519;;;6.2584992;
NOKRUB;D;20220810;0;6.3010366;;;6.3387542;
NOKRUB;D;20220810;0;6.3257631;;;6.2649843;
NOKRUB;D;20220811;0;6.2902018;;;6.2951389;
NOKRUB;D;20220811;0;6.2828947;;;6.3680389;
NOKRUB;D;20220811;0;6.3669577;;;6.4186017;
NOKRUB;D;20220811;0;6.3018413;;;6.3067000;
NOKRUB;D;20220811;0;6.3076610;;;6.3521698;
NOKRUB;D;20220811;0;6.4153880;;;6.3633409;
NOKRUB;D;20220811;0;6.3645542;;;6.3561820;
NOKRUB;D;20220811;0;6.3569128;;;6.3765704;
NOKRUB;D;20220811;0;6.4265931;;;6.4361221;
NOKRUB;D;20220811;0;6.4306516;;;6.3648605;
NOKRUB;D;20220811;0;6.3767065;;;6.3729903;
NOKRUB;D;20220811;0;6.3984469;;;6.3787433;
NOKRUB;D;20220811;0;6.3078858;;;6.3721695;
NOKRUB;D;20220811;0;6.3744143;;;6.4586510;
NOKRUB;D;20220811;0;6.4379298;;;6.4183100;
NOKRUB;D;20220811;0;6.3442313;;;6.3628462;
NOKRUB;D;20220811;0;6.2986836;;;6.3581374;
NOKRUB;D;20220811;0;6.3591107;;;6.3607089;
NOKRUB;D;20220811;0;6.3638750;;;6.3551349;
NOKRUB;D;20220811;0;6.3578465;;;6.3575992;
NOKRUB;D;20220812;0;6.3582053;;;6.3744196;
NOKRUB;D;20220812;0;6.3733432;;;6.3706701;
NOKRUB;D;20220812;0;6.3703863;;;6.3833646;
NOKRUB;D;20220812;0;6.3839940;;;6.3783615;
NOKRUB;D;20220812;0;6.3760487;;;6.3817983;
NOKRUB;D;20220812;0;6.3812397;;;6.3843027;
NOKRUB;D;20220812;0;6.3836642;;;6.4018706;
NOKRUB;D;20220812;0;6.4027587;;;6.3874998;
NOKRUB;D;20220812;0;6.3870812;;;6.3747169;
NOKRUB;D;20220812;0;6.3744112;;;6.3859039;
NOKRUB;D;20220812;0;6.3851594;;;6.3736484;
NOKRUB;D;20220812;0;6.3554772;;;6.3484670;
NOKRUB;D;20220812;0;6.3903896;;;6.4012950;
NOKRUB;D;20220812;0;6.3982253;;;6.3979426;
NOKRUB;D;20220812;0;6.3452576;;;6.4029301;
NOKRUB;D;20220812;0;6.4104640;;;6.3994339;
NOKRUB;D;20220812;0;6.3935690;;;6.4837596;
NOKRUB;D;20220812;0;6.4859370;;;6.3694903;
NOKRUB;D;20220812;0;6.3701595;;;6.3924330;
NOKRUB;D;20220812;0;6.3370525;;;6.3451910;
NOKRUB;D;20220812;0;6.2921970;;;6.3778858;
NOKRUB;D;20220812;0;6.3478673;;;6.3579138;
NOKRUB;D;20220813;0;6.3854880;;;6.3864546;
NOKRUB;D;20220814;0;6.3887852;;;6.3855081;
NOKRUB;D;20220814;0;6.3850383;;;6.3821271;
NOKRUB;D;20220815;0;6.3820735;;;6.3869515;
NOKRUB;D;20220815;0;6.3868172;;;6.4668532;
NOKRUB;D;20220815;0;6.4666639;;;6.4640019;
NOKRUB;D;20220815;0;6.4693183;;;6.4574204;
NOKRUB;D;20220815;0;6.3931200;;;6.3479267;
NOKRUB;D;20220815;0;6.3484224;;;6.3502095;
NOKRUB;D;20220815;0;6.3498342;;;6.3584945;
NOKRUB;D;20220815;0;6.3584038;;;6.3903991;
NOKRUB;D;20220815;0;6.3825593;;;6.3906438;
NOKRUB;D;20220815;0;6.3941003;;;6.3896446;
NOKRUB;D;20220815;0;6.4538939;;;6.4109969;
NOKRUB;D;20220815;0;6.4113492;;;6.4328889;
NOKRUB;D;20220815;0;6.4308228;;;6.4180559;
NOKRUB;D;20220815;0;6.4179888;;;6.3863306;
NOKRUB;D;20220815;0;6.4369042;;;6.4403554;
NOKRUB;D;20220815;0;6.4404599;;;6.3427821;
NOKRUB;D;20220815;0;6.3957127;;;6.3889586;
NOKRUB;D;20220815;0;6.2693959;;;6.3462316;
NOKRUB;D;20220815;0;6.3093588;;;6.3068792;
NOKRUB;D;20220816;0;6.3328747;;;6.4308079;
NOKRUB;D;20220816;0;6.4318102;;;6.4191759;
NOKRUB;D;20220816;0;6.2642185;;;6.2518234;
NOKRUB;D;20220816;0;6.3066820;;;6.3937522;
NOKRUB;D;20220816;0;6.3949981;;;6.3922986;
NOKRUB;D;20220816;0;6.3929353;;;6.3832222;
NOKRUB;D;20220816;0;6.3842698;;;6.3895702;
NOKRUB;D;20220816;0;6.4002498;;;6.3909142;
NOKRUB;D;20220816;0;6.3925298;;;6.3618288;
NOKRUB;D;20220816;0;6.3482173;;;6.3342622;
